Format,ABLayout,CTAGroup,M,N,K,PipelineDepth,Cycles,CyclesPerMMA,FLOPsPerCycle
BF16,SS,1,64,64,16,16,644420,40.2762,3254.328859227037
BF16,SS,1,64,64,16,32,1156915,36.1536,3625.4204283944064
BF16,SS,1,64,64,16,64,2180915,34.0768,3846.3705512254674
BF16,SS,1,64,64,16,128,4228915,33.0384,3967.262337159184
BF16,SS,1,64,64,16,256,8334024,32.5548,4026.195829800828
BF16,SS,1,64,128,16,16,1156421,72.2763,3626.9703900171976
BF16,SS,1,64,128,16,32,2180791,68.1497,3846.5906673103477
BF16,SS,1,64,128,16,64,4228791,66.0749,3967.3764167634004
BF16,SS,1,64,128,16,128,8325533,65.0432,4030.3060120043297
BF16,SS,1,64,128,16,256,16525843,64.5541,4060.841991445934
BF16,SS,1,64,256,16,16,2180421,136.2763,3847.242697372911
BF16,SS,1,64,256,16,32,4228791,132.1497,3967.379418946846
BF16,SS,1,64,256,16,64,8318839,129.9819,4033.54620912604
BF16,SS,1,64,256,16,128,16517533,129.0432,4062.8874671427857
BF16,SS,1,64,256,16,256,32909841,128.5541,4078.345225862108
BF16,SS,1,128,64,16,16,900668,56.2918,4656.877200586941
BF16,SS,1,128,64,16,32,1669287,52.1652,5025.26588606964
BF16,SS,1,128,64,16,64,3205287,50.0826,5234.233047006345
BF16,SS,1,128,64,16,128,6277287,49.0413,5345.372165909142
BF16,SS,1,128,64,16,256,12430698,48.5574,5398.641607664331
BF16,SS,1,128,128,16,16,1172420,73.2763,7154.946415143777
BF16,SS,1,128,128,16,32,2196914,68.6536,7636.715336122214
BF16,SS,1,128,128,16,64,4244914,66.3268,7904.617741244866
BF16,SS,1,128,128,16,128,8341552,65.1684,8045.126165442146
BF16,SS,1,128,128,16,256,16542111,64.6176,8113.70276828604
BF16,SS,1,128,256,16,16,2196421,137.2763,7638.434310948067
BF16,SS,1,128,256,16,32,4244791,132.6497,7904.8501428951595
BF16,SS,1,128,256,16,64,8335047,130.2351,8051.4085680434855
BF16,SS,1,128,256,16,128,16533533,129.1682,8117.911374471425
BF16,SS,1,128,256,16,256,32925841,128.6166,8152.726786433477
BF16,TS,1,64,64,16,16,628421,39.2763,3337.177890992787
BF16,TS,1,64,64,16,32,1140791,35.6497,3676.664880770385
BF16,TS,1,64,64,16,64,2164791,33.8249,3875.0151515599455
BF16,TS,1,64,64,16,128,4212791,32.9124,3982.450383442107
BF16,TS,1,64,64,16,256,8317841,32.4916,4034.0272562754685
BF16,TS,1,64,128,16,16,1140419,71.2762,3677.861614395829
BF16,TS,1,64,128,16,32,2165162,67.6613,3874.356537636729
BF16,TS,1,64,128,16,64,4213162,65.8307,3982.0934609536284
BF16,TS,1,64,128,16,128,8309528,64.9182,4038.0663665967327
BF16,TS,1,64,128,16,256,16510582,64.4945,4064.594655358209
BF16,TS,1,64,256,16,16,2164419,135.2762,3875.6854494730046
BF16,TS,1,64,256,16,32,4213162,131.6613,3982.096485451685
BF16,TS,1,64,256,16,64,8309530,129.8364,4038.0663665967327
BF16,TS,1,64,256,16,128,16501534,128.9182,4066.826871613162
BF16,TS,1,64,256,16,256,32894586,128.4945,4080.2368972991067
BF16,TS,1,128,64,16,16,628421,39.2763,6674.355781985574
BF16,TS,1,128,64,16,32,1140791,35.6497,7353.32976154077
BF16,TS,1,128,64,16,64,2164791,33.8249,7750.030303119891
BF16,TS,1,128,64,16,128,4212791,32.9124,7964.900766884214
BF16,TS,1,128,64,16,256,8317841,32.4916,8068.054512550937
BF16,TS,1,128,128,16,16,1140419,71.2762,7355.723228791658
BF16,TS,1,128,128,16,32,2165038,67.6574,7749.159737146269
BF16,TS,1,128,128,16,64,4213038,65.8287,7964.428888919271
BF16,TS,1,128,128,16,128,8309530,64.9182,8076.132733193465
BF16,TS,1,128,128,16,256,16509966,64.4921,8129.491829231798
BF16,TS,1,128,256,16,16,2164421,135.2763,7751.365168917246
BF16,TS,1,128,256,16,32,4212791,131.6497,7964.894716812875
BF16,TS,1,128,256,16,64,8309533,129.8365,8076.126512960531
BF16,TS,1,128,256,16,128,16501533,128.9182,8133.653743226324
