Op,Format,ABLayout,CTAGroup,Collector,M,N,K,PipelineDepth,Cycles,CyclesPerMMA,FLOPsPerCycle
WS,BF16,SS,1,reuse,32,64,16,16,366770,22.9231,2858.9501419965013
WS,BF16,SS,1,reuse,32,64,16,32,609265,19.0395,3442.10719819323
WS,BF16,SS,1,reuse,32,64,16,64,1089265,17.0198,3850.5740372977357
WS,BF16,SS,1,reuse,32,64,16,128,2049265,16.0099,4093.4671671903016
WS,BF16,SS,1,reuse,32,64,16,256,3978689,15.5418,4216.757389748935
WS,BF16,SS,1,reuse,32,128,16,16,430897,26.9311,4866.938223837868
WS,BF16,SS,1,reuse,32,128,16,32,721390,22.5434,5814.207262436013
WS,BF16,SS,1,reuse,32,128,16,64,1297390,20.2717,6465.762614876898
WS,BF16,SS,1,reuse,32,128,16,128,2449390,19.1359,6849.534121729315
WS,BF16,SS,1,reuse,32,128,16,256,4762814,18.6047,7045.101506608545
WS,BF16,SS,1,reuse,32,256,16,16,676771,42.2982,6197.521407530344
WS,BF16,SS,1,reuse,32,256,16,32,1189265,37.1645,7053.6129908918465
WS,BF16,SS,1,reuse,32,256,16,64,2213265,34.5823,7580.293965410052
WS,BF16,SS,1,reuse,32,256,16,128,4261265,33.2911,7874.29673396193
WS,BF16,SS,1,reuse,32,256,16,256,8366262,32.6807,8021.3704112825
WS,BF16,SS,1,reuse,64,64,16,16,501397,31.3373,4182.619434348205
WS,BF16,SS,1,reuse,64,64,16,32,869892,27.1841,4821.642062823488
WS,BF16,SS,1,reuse,64,64,16,64,1605892,25.0921,5223.636124517278
WS,BF16,SS,1,reuse,64,64,16,128,3077892,24.046,5450.885802212426
WS,BF16,SS,1,reuse,64,64,16,256,6030820,23.5579,5563.823600575603
WS,BF16,SS,1,reuse,64,128,16,16,660771,41.2982,6347.5889990362775
WS,BF16,SS,1,reuse,64,128,16,32,1173265,36.6645,7149.804306618119
WS,BF16,SS,1,reuse,64,128,16,64,2197263,34.3322,7635.514182021542
WS,BF16,SS,1,reuse,64,128,16,128,4245263,33.1661,7903.974238755838
WS,BF16,SS,1,reuse,64,128,16,256,8350441,32.6189,8036.5677567299945
WS,BF16,SS,1,reuse,64,256,16,16,1172771,73.2982,7152.808663787106
WS,BF16,SS,1,reuse,64,256,16,32,2197265,68.6645,7635.50306198982
WS,BF16,SS,1,reuse,64,256,16,64,4245265,66.3323,7903.962323031163
WS,BF16,SS,1,reuse,64,256,16,128,8341310,65.1665,8045.360729822839
WS,BF16,SS,1,reuse,64,256,16,256,16542137,64.6177,8113.690211815029
WS,BF16,SS,1,reuse,128,64,16,16,774771,48.4232,5413.603396718928
WS,BF16,SS,1,reuse,128,64,16,32,1399265,43.727,5995.014521920096
WS,BF16,SS,1,reuse,128,64,16,64,2647263,41.3635,6337.568145829052
WS,BF16,SS,1,reuse,128,64,16,128,5143263,40.1817,6523.964889489494
WS,BF16,SS,1,reuse,128,64,16,256,10145048,39.6291,6614.93700336369
WS,BF16,SS,1,reuse,128,128,16,16,1172522,73.2826,7154.331314664054
WS,BF16,SS,1,reuse,128,128,16,32,2197017,68.6568,7636.359399214644
WS,BF16,SS,1,reuse,128,128,16,64,4245017,66.3284,7904.4270629172415
WS,BF16,SS,1,reuse,128,128,16,128,8341633,65.169,8045.052095321395
WS,BF16,SS,1,reuse,128,128,16,256,16541939,64.6169,8113.790664671316
WS,BF16,SS,1,reuse,128,256,16,16,2196771,137.2982,7637.215928540942
WS,BF16,SS,1,reuse,128,256,16,32,4245265,132.6645,7903.968280889009
WS,BF16,SS,1,reuse,128,256,16,64,8335925,130.2488,8050.5616942344195
WS,BF16,SS,1,reuse,128,256,16,128,16532976,129.1639,8118.181628148422
WS,BF16,SS,1,reuse,128,256,16,256,32926631,128.6197,8152.530288905977
WS,BF16,TS,1,reuse,32,64,16,16,266155,16.6347,3939.7163760091858
WS,BF16,TS,1,reuse,32,64,16,32,411888,12.8715,5091.558870372529
WS,BF16,TS,1,reuse,32,64,16,64,699888,10.9358,5992.794308601108
WS,BF16,TS,1,reuse,32,64,16,128,1275888,9.9679,6574.704802415755
WS,BF16,TS,1,reuse,32,64,16,256,2436444,9.5174,6885.9142202702415
WS,BF16,TS,1,reuse,32,128,16,16,389646,24.3529,5382.192675205006
WS,BF16,TS,1,reuse,32,128,16,32,646265,20.1958,6490.062290179147
WS,BF16,TS,1,reuse,32,128,16,64,1158265,18.0979,7242.387238298366
WS,BF16,TS,1,reuse,32,128,16,128,2182265,17.0489,7688.003331593241
WS,BF16,TS,1,reuse,32,128,16,256,4239193,16.5593,7915.3104297886985
WS,BF16,TS,1,reuse,32,256,16,16,662773,41.4233,6328.419029869663
WS,BF16,TS,1,reuse,32,256,16,32,1175391,36.731,7136.859873131687
WS,BF16,TS,1,reuse,32,256,16,64,2199391,34.3655,7628.115406439599
WS,BF16,TS,1,reuse,32,256,16,128,4247391,33.1827,7900.0201912442335
