Op,Format,ABLayout,CTAGroup,M,N,K,PipelineDepth,Cycles,CyclesPerMMA,FLOPsPerCycle
WS,BF16,SS,1,32,64,16,16,562771,35.1732,1863.2367825503507
WS,BF16,SS,1,32,64,16,32,1011265,31.602,2073.792797924182
WS,BF16,SS,1,32,64,16,64,1907265,29.801,2199.120834871313
WS,BF16,SS,1,32,64,16,128,3699265,28.9005,2267.6424283316896
WS,BF16,SS,1,32,64,16,256,7292689,28.4871,2300.550073542059
WS,BF16,SS,1,32,128,16,16,818771,51.1732,2561.3407017735844
WS,BF16,SS,1,32,128,16,32,1523265,47.602,2753.497752195286
WS,BF16,SS,1,32,128,16,64,2931265,45.801,2861.7715770398027
WS,BF16,SS,1,32,128,16,128,5747265,44.9005,2919.165710849545
WS,BF16,SS,1,32,128,16,256,11388145,44.4849,2946.438004806125
WS,BF16,SS,1,32,256,16,16,1330771,83.1732,3151.784469035699
WS,BF16,SS,1,32,256,16,32,2547265,79.602,3293.183588352051
WS,BF16,SS,1,32,256,16,64,4979265,77.801,3369.416845541831
WS,BF16,SS,1,32,256,16,128,9842956,76.8981,3408.978895447352
WS,BF16,SS,1,32,256,16,256,19580319,76.4856,3427.364105138745
WS,BF16,SS,1,64,64,16,16,630522,39.4076,3326.058932794689
WS,BF16,SS,1,64,64,16,32,1143017,35.7193,3669.5008020873875
WS,BF16,SS,1,64,64,16,64,2167017,33.8596,3871.0439579912345
WS,BF16,SS,1,64,64,16,128,4215017,32.9298,3980.34606951758
WS,BF16,SS,1,64,64,16,256,8317959,32.492,4033.9775944847966
WS,BF16,SS,1,64,128,16,16,886771,55.4232,4729.860419463329
WS,BF16,SS,1,64,128,16,32,1655265,51.727,5067.836913024146
WS,BF16,SS,1,64,128,16,64,3191263,49.8635,5257.232244026191
WS,BF16,SS,1,64,128,16,128,6263263,48.9317,5357.3450339963665
WS,BF16,SS,1,64,128,16,256,12416437,48.5017,5404.841479783183
WS,BF16,SS,1,64,256,16,16,1398771,87.4232,5997.126620851216
WS,BF16,SS,1,64,256,16,32,2679265,83.727,6261.874902958424
WS,BF16,SS,1,64,256,16,64,5239265,81.8635,6404.417108967977
WS,BF16,SS,1,64,256,16,128,10358956,80.9293,6478.345914273323
WS,BF16,SS,1,64,256,16,256,20608298,80.5012,6512.797324760377
WS,BF16,SS,1,128,64,16,16,900771,56.2982,4656.347805080802
WS,BF16,SS,1,128,64,16,32,1669265,52.1645,5025.33332055325
WS,BF16,SS,1,128,64,16,64,3205263,50.0822,5234.274852143077
WS,BF16,SS,1,128,64,16,128,6277263,49.0411,5345.39396546978
WS,BF16,SS,1,128,64,16,256,12429897,48.5543,5398.986289576825
WS,BF16,SS,1,128,128,16,16,1322522,82.6576,6342.889220108012
WS,BF16,SS,1,128,128,16,32,2507017,78.3443,6692.101403675825
WS,BF16,SS,1,128,128,16,64,4875017,76.1721,6882.940079110331
WS,BF16,SS,1,128,128,16,128,9611635,75.0909,6982.044428818937
WS,BF16,SS,1,128,128,16,256,19091941,74.5779,7030.071911383936
WS,BF16,SS,1,128,256,16,16,2346771,146.6732,7149.063359904877
WS,BF16,SS,1,128,256,16,32,4555265,142.352,7366.078453411262
WS,BF16,SS,1,128,256,16,64,8970956,140.1712,7480.680767518577
WS,BF16,SS,1,128,256,16,128,17802956,139.0856,7539.06946513514
WS,BF16,SS,1,128,256,16,256,35476084,138.5785,7566.657165433311
WS,BF16,TS,1,32,64,16,16,554773,34.6733,1890.0998751200493
WS,BF16,TS,1,32,64,16,32,1003391,31.356,2090.0625079729557
WS,BF16,TS,1,32,64,16,64,1899391,29.678,2208.2350562706383
WS,BF16,TS,1,32,64,16,128,3691391,28.839,2272.4782412705017
WS,BF16,TS,1,32,64,16,256,7284319,28.4544,2303.1938821412505
WS,BF16,TS,1,32,128,16,16,810773,50.6733,2586.608726883783
WS,BF16,TS,1,32,128,16,32,1515391,47.356,2767.8013345721765
WS,BF16,TS,1,32,128,16,64,2923391,45.678,2869.477647883007
WS,BF16,TS,1,32,128,16,128,5739391,44.839,2923.1695622114676
WS,BF16,TS,1,32,128,16,256,11381002,44.457,2948.287108891738
WS,BF16,TS,1,32,256,16,16,1322773,82.6733,3170.842339667099
WS,BF16,TS,1,32,256,16,32,2539391,79.356,3303.3923080800446
WS,BF16,TS,1,32,256,16,64,4971391,77.678,3374.752182085018
WS,BF16,TS,1,32,256,16,128,9835672,76.8412,3411.503204010349
WS,BF16,TS,1,32,256,16,256,19572935,76.4568,3428.655135972209
WS,BF16,TS,1,64,64,16,16,554771,34.6732,3780.210652607778
WS,BF16,TS,1,64,64,16,32,1003265,31.352,4180.658331206941
WS,BF16,TS,1,64,64,16,64,1899265,29.676,4416.767758458013
WS,BF16,TS,1,64,64,16,128,3691265,28.838,4545.114085581524
WS,BF16,TS,1,64,64,16,256,7284689,28.4558,4606.161134109742
WS,BF16,TS,1,64,128,16,16,810773,50.6733,5173.217453767566
WS,BF16,TS,1,64,128,16,32,1515391,47.356,5535.602669144353
